X,Y,id,amenity,created_by,ref,wheelchair,source,wetap:photo,wetap:status,wetap:statusnote,note:it,description,indoor,fixme,comment:it,comment,name,note,access,comment:en
9.1351433,45.4740459,node/1009311833,drinking_water,,,,,,,,,,,,,,,,,
9.1938779,45.5155744,node/1029607372,drinking_water,,,,,,,,,,,,,,,,,
9.2015335,45.4625309,node/1029627508,drinking_water,,,,,,,,,,,,,,,,,
9.1967942,45.4602041,node/1029627511,drinking_water,,,,,,,,,,,,,,,,,
9.2118625,45.4624052,node/1029627516,drinking_water,,,,,,,,,,,,,,,,,
9.1794052,45.4697514,node/1029634201,drinking_water,,,yes,,,,,,,,,,,,,,
9.1803221,45.4703734,node/1029634205,drinking_water,,,yes,,,,,,,,,,,,,,
9.1701619,45.4662749,node/1029658678,drinking_water,,,,,,,,,,,,,,,,,
9.1651523,45.4662713,node/1029658732,drinking_water,,,,,,,,,,,,,,,,,
9.1941646,45.447496,node/1038645651,drinking_water,,,,,,,,,,,position approximated,,,,,,
9.190967,45.4464739,node/1038645676,drinking_water,,,,,,,,,,,position approximated,,,,,,
9.2681748,45.4795764,node/1096888147,drinking_water,,,,,,,,,,,,,,,,,
9.2692526,45.4765636,node/1097844184,drinking_water,,,,,,,,,,,,,,,,,
9.2708327,45.4806746,node/1098103567,drinking_water,,,,,,,,,,,,,,,,,
9.2471569,45.509268,node/1150787451,drinking_water,,,,UDB60,,,,,,,,,,,,,
9.2681961,45.4810941,node/1172056627,drinking_water,,,,,,,,,,,,,,,,,
9.2601173,45.4274691,node/1194208423,drinking_water,,,,,,,,,,,,,,,,,
9.2633628,45.4299576,node/1194208424,drinking_water,,,,,,,,,,,,,,,,,
9.1643576,45.4773722,node/1263373782,drinking_water,,,,,,,,,,,,,,,,,
9.1420204,45.4672783,node/1272964250,drinking_water,,,,,,,,,,,,,,,,,
9.141057,45.4830424,node/1274759900,drinking_water,,,,,,,,,,,,,,,,,
9.1758565,45.4721426,node/1298697472,drinking_water,,,,,,,,,,,,,,,,,
9.1378197,45.4883381,node/1306561684,drinking_water,,,,,,,,,,,,,,,,,
9.1756335,45.4739374,node/1308191389,drinking_water,,,,,,,,,,,,,,,,,
9.1966413,45.4793396,node/1343437341,drinking_water,,,,,,,,,,,,,,,,,
9.1518354,45.4970187,node/1357813358,drinking_water,,,,,,,,,,,,,,,,,
9.2372738,45.4860008,node/1425307949,drinking_water,,,,,,,,,,,,,,,,,
9.2414711,45.4813597,node/1446351428,drinking_water,,,,,,,,,,,,,,,,,
9.2411648,45.4708147,node/1454005377,drinking_water,,,,,,,,,,,,,,,,,
9.1418883,45.4903684,node/1459074428,drinking_water,,,,,,,,,,,,,,,,,
9.2357673,45.4350027,node/1480645951,drinking_water,,,,,,,,,,,,,,,,,
9.1794983,45.4966819,node/1485785967,drinking_water,,,,,,,,,,,,,,,,,
9.2449665,45.5000332,node/1555877286,drinking_water,,,,,,,,,,,,,,,,,
9.1997384,45.5055872,node/1569597486,drinking_water,,,,,,,,,,,,,,,,,
9.2099095,45.482523,node/1575842612,drinking_water,,,,,,,,,,,check position,,,,,,
9.2412252,45.4860539,node/1584375490,drinking_water,,,,,,,,,,,,,,,,,
9.1529793,45.4996347,node/1589407275,drinking_water,,,yes,local_knowledge,,,,,,,,,,,,,
9.1769952,45.5086643,node/1596401485,drinking_water,,,,,,,,,,,,accessibile solo quando il giardino è aperto,only acccessible when the park is open,,,,
9.21012,45.4849974,node/1605677400,drinking_water,,,,,,,,,,,,,,,,,
9.1699912,45.5171321,node/1626860180,drinking_water,,,,,,,,,,,,,,,,,
9.1629531,45.461349,node/1630392480,drinking_water,,,,,,,,,,,Position estimated,,,,,,
9.2302315,45.4922009,node/1633746619,drinking_water,,,,,,,,,,,,,,,,,
9.2243525,45.4778814,node/1662220469,drinking_water,,,,,,,,,,,,,,,,,
9.2656422,45.4152402,node/1669463882,drinking_water,,,,,,,,,,,,,,,,,
9.2251463,45.4782859,node/1679098182,drinking_water,,,,,,,,,,,,,,,,,
9.2176146,45.5115847,node/1696119905,drinking_water,,,,,,,,,,,,,,,,,
9.1569115,45.4982692,node/1719398392,drinking_water,,,,,,,,,,,,,,,,,
9.1851173,45.4692433,node/1726715832,drinking_water,,,,,,,,,,,,,,,,,
9.2342302,45.4801352,node/1735770939,drinking_water,,,yes,,,,,,,,,,,,,,
9.1684717,45.4249091,node/1739445885,drinking_water,,,,,,,,,,,,,,,,,
9.1796721,45.4845186,node/1777066825,drinking_water,,,,,,,,,,,,,,,,,
9.0657884,45.4401824,node/1795852601,drinking_water,,,,,,,,,,,,,,,,,
9.082916,45.4405119,node/1798038770,drinking_water,,,,,,,,,,,,,,Casa dell' acqua,,,
9.285691,45.5028388,node/1799625921,drinking_water,,,,,,,,,,,,,,,,,
9.2446232,45.5020361,node/1799638618,drinking_water,,,,,,,,,,,,,,,,,
9.0829898,45.434042,node/1803665133,drinking_water,,,,,,,,,,,,,,,,,
9.2184434,45.4438926,node/1821517203,drinking_water,,,,,,,,,,,,,,,outside the fence,,
9.1948353,45.4641507,node/1821517204,drinking_water,,035,,,,,,,,,,,,,,,
9.1907901,45.5099852,node/1860872168,drinking_water,,,,,,,,,,,,,,,,,
9.1771308,45.4735825,node/1874870149,drinking_water,,,,,,,,,,,,,,,,,
9.1668496,45.487353,node/1875082755,drinking_water,,,,,,,,,,,Position estimated,,,,,,
